Age,M,F,,,,
0-4,1927938,1829322,,,,
5-9,2116389,2013923,,,,
10-14,2071497,1969703,,,,
15-19,1894304,1795571,0.232907430721708,49759.879023956,50000,233000
20-24,2109626,1989195,,,,
25-29,2285518,2198923,,,,
30-34,2261316,2257339,,,,
35-39,2183186,2226873,,,,
40-44,2035329,2064739,,,,
45-49,2121620,2174940,,,,
50-54,2268570,2344626,,,,
55-59,2208890,2288855,,,,
60-64,1892734,1973323,0.579867491331797,123886.713829546,125000,580000
65-69,1630005,1738337,,,,
70-74,1604336,1751937,,,,
75-79,1119354,1294626,,,,
80-84,759826,964815,,,,
85-89,424305,632402,,,,
90-94,167413,313703,,,,
95-99,36884,99778,,,,
100+,3332,14160,0.187225077946495,40000,40000,187000
,,,,,215000,1000000
